title,publish_date,media_name,url,cluster,title_total_frequency,title_date_frequency,publish_year,publish_month,publish_day,days_since_min,label,cluster_name,topics
"All my love, Elliot': Actor Page comes out as transgender",12/1/20,abcnews.go.com,https://abcnews.go.com/Entertainment/wireStory/love-elliot-actor-page-transgender-74487863,84,9,9,2020,12,1,335,Elliot Page Comes Out,Elliot Page Comes Out,"popCulture, identity"
"All my love, Elliot': Actor Page comes out as transgender",12/1/20,startribune.com,https://www.startribune.com/all-my-love-elliot-actor-page-comes-out-as-transgender/573251641/,84,9,9,2020,12,1,335,Elliot Page Comes Out,Elliot Page Comes Out,"popCulture, identity"
"All my love, Elliot': Actor Page comes out as transgender",12/1/20,stltoday.com,https://www.stltoday.com/news/national/all-my-love-elliot-actor-page-comes-out-as-transgender/article_7b7bf1c0-f95b-56f6-b43c-c480819c9158.html,84,9,9,2020,12,1,335,Elliot Page Comes Out,Elliot Page Comes Out,"popCulture, identity"
Biden Overturns Trump Ban On Transgender US Troops,1/25/21,ibtimes.com,https://www.ibtimes.com/biden-overturns-trump-ban-transgender-us-troops-3130103?utm_source=Public&utm_medium=Feed&utm_campaign=Distribution,112,2,2,2021,1,25,390,Biden Reverses Transgender Ban,Biden Reverses Transgender Ban,federalPolicy
Biden Repeals Trump-Era Ban On Transgender Troops,1/25/21,npr.org,https://www.npr.org/sections/president-biden-takes-office/2021/01/25/960338217/biden-repeals-trump-era-ban-on-transgender-soldiers,112,2,2,2021,1,25,390,Biden Reverses Transgender Ban,Biden Reverses Transgender Ban,federalPolicy
Dave Chappelle ambushed us at the John Mulaney show': The internet is in an uproar after the comic told a 'transphobic joke' when opening for Columbus stop on Mulaney's tour,5/22/22,dailydot.com,https://www.dailydot.com/unclick/john-mulaney-dave-chappelle/,52,1,1,2022,5,22,872,Chappelle Controversy,Chappelle Controversy,"bigotry, popCulture"
Dear White People' showrunner boycotts Netflix over 'transphobic' Dave Chappelle special,10/8/21,nbcnews.com,https://www.nbcnews.com/nbc-out/out-pop-culture/dear-white-people-showrunner-boycotts-netflix-transphobic-dave-chappel-rcna2779,52,1,1,2021,10,8,646,Chappelle Controversy,Chappelle Controversy,"bigotry, popCulture"
"Dear White People' showrunner quits Netflix to protest Dave Chappelle's transgender jokes, but its backfiring badly online",10/9/21,theblaze.com,https://www.theblaze.com/news/dave-chappelle-dear-white-people,52,2,2,2021,10,9,647,Chappelle Controversy,Chappelle Controversy,"bigotry, popCulture"
Biden Repeals Trump’s Trans Troops Ban in Sweeping Executive Order,1/25/21,slate.com,https://slate.com/news-and-politics/2021/01/biden-executive-order-trump-trans-ban.html?via=rss,112,2,2,2021,1,25,390,Biden Reverses Transgender Ban,Biden Reverses Transgender Ban,federalPolicy
Biden Reverses Transgender Ban In US Military,1/26/21,rttnews.com,https://www.rttnews.com/3163476/biden-reverses-transgender-ban-in-us-military.aspx?type=ts,112,2,2,2021,1,26,391,Biden Reverses Transgender Ban,Biden Reverses Transgender Ban,federalPolicy
Biden Reverses Trump’s Transgender Military Ban,1/25/21,forbes.com,https://www.forbes.com/sites/alisondurkee/2021/01/25/biden-reverses-trump-transgender-military-ban/,112,2,2,2021,1,25,390,Biden Reverses Transgender Ban,Biden Reverses Transgender Ban,federalPolicy
Biden Signs Executive Order Killing Trump’s 2018 Ban On Transgender Military Service,1/25/21,dailycaller.com,https://dailycaller.com/2021/01/25/joe-biden-transgender-military-service-executive-order-donald-trump/,112,2,2,2021,1,25,390,Biden Reverses Transgender Ban,Biden Reverses Transgender Ban,federalPolicy
Biden To Reverse Transgender Military Ban In Coming Weeks,1/20/21,ibtimes.com,https://www.ibtimes.com/biden-reverse-transgender-military-ban-coming-weeks-3126857?utm_source=Public&utm_medium=Feed&utm_campaign=Distribution,112,1,1,2021,1,20,385,Biden Reverses Transgender Ban,Biden Reverses Transgender Ban,federalPolicy
Biden To Throw Out Trump's Ban On Transgender Military Members,1/25/21,talkingpointsmemo.com,https://talkingpointsmemo.com/news/biden-to-throw-out-trumps-ban-on-transgender-military-members,112,1,1,2021,1,25,390,Biden Reverses Transgender Ban,Biden Reverses Transgender Ban,federalPolicy
Biden Will Soon Repeal Trump's Transgender Military Ban,1/24/21,rollingstone.com,https://www.rollingstone.com/politics/politics-news/biden-will-soon-repeal-trump-transgender-military-ban-1118523/,112,1,1,2021,1,24,389,Biden Reverses Transgender Ban,Biden Reverses Transgender Ban,federalPolicy
Biden announces end to transgender military ban,1/25/21,mashable.com,http://feeds.mashable.com/~r/Mashable/~3/yq1_L7FPkuU/,112,4,4,2021,1,25,390,Biden Reverses Transgender Ban,Biden Reverses Transgender Ban,federalPolicy
Emilia Perez' movie controversy: Oscar nominated film gets backlash,1/24/25,usatoday.com,https://www.usatoday.com/story/entertainment/movies/2025/01/24/emilia-perez-controversy-oscars/77924021007/,51,2,2,2025,1,24,1850,Emilia Pérez Controversy,Emilia Pérez Controversy,"popCulture, bigotry"
Emilia Pérez' star Karla Sofia Gascón continues to spark controversy amid film's Oscar campaign,2/7/25,nbcnews.com,https://www.nbcnews.com/pop-culture/emilia-perez-karla-sofia-gascon-comments-oscars-director-what-know-rcna191000,51,2,2,2025,2,7,1864,Emilia Pérez Controversy,Emilia Pérez Controversy,"popCulture, bigotry"
"Emilia Pérez' star Karla Sofía Gascón stokes controversy over past social media posts, Oscars comments",1/30/25,ew.com,https://ew.com/emilia-perez-karla-sofia-gascon-social-media-posts-controversy-8783248,51,2,2,2025,1,30,1856,Emilia Pérez Controversy,Emilia Pérez Controversy,"popCulture, bigotry"
"Emilia Pérez': All the buzz and backlash around the Oscars' top nominee, explained",1/23/25,latimes.com,https://www.latimes.com/entertainment-arts/awards/story/2025-01-23/emilia-perez-netflix-oscars-explainer,51,1,1,2025,1,23,1849,Emilia Pérez Controversy,Emilia Pérez Controversy,"popCulture, bigotry"
Biden expected to repeal Trump's transgender military ban as soon as Monday,1/24/21,cbsnews.com,https://www.cbsnews.com/news/biden-transgender-military-ban-repeal/?ftag=CNM-00-10aab7e&linkId=109841928,112,2,2,2021,1,24,389,Biden Reverses Transgender Ban,Biden Reverses Transgender Ban,federalPolicy
"Feeling more feminine,' Demi Lovato adds she/her back into pronoun options",8/2/22,latimes.com,https://www.latimes.com/entertainment-arts/music/story/2022-08-02/demi-lovato-updates-pronouns-to-include-she-her,45,2,2,2022,8,2,944,Demi Lovatos Pronouns,Demi Lovatos Pronouns,"popCulture, identity"
Flash' Star Ezra Miller Tells Police 'I Film Myself When I Get Assaulted For NFT Crypto Art',5/12/22,ibtimes.com,https://www.ibtimes.com/flash-star-ezra-miller-tells-police-i-film-myself-when-i-get-assaulted-nft-crypto-art-3505496?utm_source=Public&utm_medium=Feed&utm_campaign=Distribution,9,2,2,2022,5,12,862,Ezra Miller Controversy,Ezra Miller Controversy,"popCulture, bigotry"
Biden lifting Trump's transgender military ban,1/25/21,cnn.com,http://rss.cnn.com/~r/rss/cnn_topstories/~3/ttAv3s5feRI/h_7bfdb68a510e8ab5ed64288a24a259b9,112,2,2,2021,1,25,390,Biden Reverses Transgender Ban,Biden Reverses Transgender Ban,federalPolicy
Biden lifts Pentagon's ban on transgender people serving in military,1/25/21,abcnews.go.com,https://abcnews.go.com/Politics/biden-lift-pentagons-ban-transgender-people-serving-military/story?id=75460373&amp;cid=clicksource_4380645_6_three_posts_card_hed,112,1,1,2021,1,25,390,Biden Reverses Transgender Ban,Biden Reverses Transgender Ban,federalPolicy
Gender is a fact': Dave Chappelle triggers critics with new politically incorrect comedy special,10/6/21,theblaze.com,https://www.theblaze.com/news/dave-chappelle-gender-politically-incorrect-comedy,52,1,1,2021,10,6,644,Chappelle Controversy,Chappelle Controversy,"bigotry, popCulture"
Genderfluid' Biden Official Allegedly Stole a Woman's Luggage,11/28/22,breitbart.com,https://www.breitbart.com/politics/2022/11/28/genderfluid-biden-official-sam-brinton-allegedly-stole-womans-luggage/,29,1,1,2022,11,28,1062,Brinton Luggage Thefts,Brinton Luggage Thefts,identity
Hands Off!' protests against Trump and Musk are planned across the US,4/5/25,abcnews.go.com,https://abcnews.go.com/US/wireStory/hands-off-protests-trump-musk-planned-us-120512700,28,4,4,2025,4,5,1921,Hands Off! Protests,Hands Off! Protests,activism
Hands Off!' protests against Trump and Musk are planned across the US,4/5/25,ajc.com,https://www.ajc.com/news/nation-world/hands-off-protests-against-trump-and-musk-are-planned-across-the-us/HMAG7VYULVDM3N3JVT4TFWYFJ4/,28,4,4,2025,4,5,1921,Hands Off! Protests,Hands Off! Protests,activism
Hands Off!' protests against Trump and Musk are planned across the US,4/5/25,inquirer.com,https://www.inquirer.com/wires/ap/hands-off-protests-against-trump-musk-are-planned-across-us-20250405.html,28,4,4,2025,4,5,1921,Hands Off! Protests,Hands Off! Protests,activism
Hands Off!' protests against Trump and Musk are planned across the US,4/5/25,newsday.com,https://www.newsday.com/news/nation/trump-musk-doge-protests-hands-off-p22676,28,4,4,2025,4,5,1921,Hands Off! Protests,Hands Off! Protests,activism
Harry Potter' Star Calls J.K. Rowling a 'Bigot' Over Trans Views After UK Supreme Court Ruling,4/25/25,breitbart.com,https://www.breitbart.com/entertainment/2025/04/25/harry-potter-star-calls-j-k-rowling-a-bigot-over-trans-views-after-uk-supreme-court-ruling/,63,1,1,2025,4,25,1941,Rowling Trans Controversy,Rowling Trans Controversy,"popCulture, bigotry, identity"
Harry Potter' Star Emma Watson Tweets Support for Trans Lives After JK Rowling's Transphobic Rant,6/10/20,thewrap.com,https://www.thewrap.com/harry-potter-emma-watson-trans-rights-jk-rowling/,63,2,2,2020,6,10,161,Rowling Trans Controversy,Rowling Trans Controversy,"popCulture, bigotry, identity"
"Harry Potter' actor slams J.K. Rowling's comments on gender, argues: 'Transgender women are women'",6/9/20,theblaze.com,https://www.theblaze.com/news/harry-potter-actor-slams-j-k-rowlings-comments-on-gender-argues-transgender-women-are-women,63,4,4,2020,6,9,160,Rowling Trans Controversy,Rowling Trans Controversy,"popCulture, bigotry, identity"
Harry Potter' author J.K. Rowling doubles down on her transgender heresy and woke Twitter is melting down,6/10/20,theblaze.com,https://www.theblaze.com/news/rowling-bashed-transgender-essay,63,2,2,2020,6,10,161,Rowling Trans Controversy,Rowling Trans Controversy,"popCulture, bigotry, identity"
Harry Potter' author J.K. Rowling's tweets blasted for being anti-transgender,6/7/20,latimes.com,https://www.latimes.com/entertainment-arts/story/2020-06-07/jk-rowling-tweets-transphobic-transgender,63,4,4,2020,6,7,158,Rowling Trans Controversy,Rowling Trans Controversy,"popCulture, bigotry, identity"
Harry Potter' author JK Rowling faces backlash to anti-trans comments,4/18/25,usatoday.com,https://www.usatoday.com/story/entertainment/celebrities/2025/04/18/jk-rowling-anti-trans-controversy/83161361007/,63,3,3,2025,4,18,1934,Rowling Trans Controversy,Rowling Trans Controversy,"popCulture, bigotry, identity"
Harry Potter' game allows creation of trans players despite J.K. Rowling's remarks,3/2/21,latimes.com,https://www.latimes.com/entertainment-arts/story/2021-03-02/hogwarts-legacy-harry-potter-game-trans-players,63,2,2,2021,3,2,426,Rowling Trans Controversy,Rowling Trans Controversy,"popCulture, bigotry, identity"
Harry Potter' star Daniel Radcliffe doubles down on denouncing J.K. Rowling's transgender comments,11/2/22,foxnews.com,https://www.foxnews.com/entertainment/harry-potter-star-daniel-radcliffe-doubles-down-not-agreeing-creators-transgender-comments,63,3,3,2022,11,2,1036,Rowling Trans Controversy,Rowling Trans Controversy,"popCulture, bigotry, identity"
Harry Potter' stars are slamming J.K. Rowling's transphobic statements,6/11/20,dailydot.com,https://www.dailydot.com/unclick/harry-potter-actors-rowling-trans/,63,1,1,2020,6,11,162,Rowling Trans Controversy,Rowling Trans Controversy,"popCulture, bigotry, identity"
Biden overturns Trump's ban on transgender service members in the US military,1/25/21,businessinsider.com,https://www.businessinsider.com/biden-overturns-trumps-ban-on-transgender-people-in-the-military-2021-1,112,2,2,2021,1,25,390,Biden Reverses Transgender Ban,Biden Reverses Transgender Ban,federalPolicy
"I Am Suffering': Ezra Miller Seeking Treatment For 'Mental Health Issues' Following Months Of Legal Trouble, Erratic Behavior",8/16/22,radaronline.com,https://radaronline.com/p/erza-miller-seeking-treatment-mental-health-the-flash-rehab/,9,1,1,2022,8,16,958,Ezra Miller Controversy,Ezra Miller Controversy,"popCulture, bigotry"
"I Am Trans.' Elliot Page, Star of 'Juno' and 'Umbrella Academy,' Announces Transgender Identity",12/1/20,time.com,https://time.com/5916800/elliot-page-transgender-announcement/,84,5,5,2020,12,1,335,Elliot Page Comes Out,Elliot Page Comes Out,"popCulture, identity"
I Changed the Whole Game': Billy Porter Calls Out the Double Standard in Praising Harry Styles' Nonbinary Fashion,10/18/21,theroot.com,https://www.theroot.com/i-changed-the-whole-game-billy-porter-calls-out-the-do-1847887349,12,2,2,2021,10,18,656,Porter-Styles Vogue Controversy,Porter-Styles Vogue Controversy,"popCulture, bigotry"
Biden overturns Trump’s transgender military ban.,1/25/21,nytimes.com,https://www.nytimes.com/2021/01/25/us/politics/biden-transgender-military.html,112,1,1,2021,1,25,390,Biden Reverses Transgender Ban,Biden Reverses Transgender Ban,federalPolicy
I am proud.' Demi Lovato comes out as nonbinary,5/19/21,abcnews.go.com,https://abcnews.go.com/Entertainment/wireStory/demi-lovato-binary-changing-pronouns-77777153,45,5,5,2021,5,19,504,Demi Lovatos Pronouns,Demi Lovatos Pronouns,"popCulture, identity"
I am proud.' Demi Lovato comes out as nonbinary,5/19/21,pbs.org,https://www.pbs.org/newshour/nation/i-am-proud-demi-lovato-comes-out-as-nonbinary,45,5,5,2021,5,19,504,Demi Lovatos Pronouns,Demi Lovatos Pronouns,"popCulture, identity"
I am proud.' Demi Lovato comes out as nonbinary,5/19/21,startribune.com,https://www.startribune.com/i-am-proud-demi-lovato-comes-out-as-nonbinary/600058822/,45,5,5,2021,5,19,504,Demi Lovatos Pronouns,Demi Lovatos Pronouns,"popCulture, identity"
I am proud.' Demi Lovato comes out as nonbinary,5/19/21,stltoday.com,https://www.stltoday.com/news/national/i-am-proud-demi-lovato-comes-out-as-nonbinary/article_8343d888-0b04-5b34-bbaf-dc9f38ba6038.html,45,5,5,2021,5,19,504,Demi Lovatos Pronouns,Demi Lovatos Pronouns,"popCulture, identity"
I screwed up': Netflix's Ted Sarandos addresses Dave Chappelle fallout,10/20/21,nbcnews.com,https://www.nbcnews.com/pop-culture/celebrity/i-screwed-netflix-s-ted-sarandos-addresses-dave-chappelle-fallout-n1281944,52,2,2,2021,10,20,658,Chappelle Controversy,Chappelle Controversy,"bigotry, popCulture"
Biden repeals Trump ban on transgender military members,1/25/21,nypost.com,https://nypost.com/2021/01/25/biden-repeals-trump-ban-on-transgender-military-members/,112,2,2,2021,1,25,390,Biden Reverses Transgender Ban,Biden Reverses Transgender Ban,federalPolicy
I'm in': Caitlyn Jenner announces bid for California governor amid recall effort,4/23/21,abcnews.go.com,https://abcnews.go.com/Politics/im-caitlyn-jenner-announces-bid-california-governor-amid/story?id=77267361,36,2,2,2021,4,23,478,Jenner Governor Bid,Jenner Governor Bid,"statePolicy, popCulture"
Jeopardy! champion Amy Schneider's history-making run ends,1/27/22,washingtonpost.com,https://www.washingtonpost.com/entertainment/tv/jeopardy-champ-amy-schneider-opens-a-new-chapter-for-show/2022/01/26/5f6c5230-7f08-11ec-8cc8-b696564ba796_story.html,85,1,1,2022,1,27,757,Amy Schneider Jeopardy!,Amy Schneider Jeopardy!,"popCulture, identity"
"Jeopardy!' Champ Amy Schneider Becomes No. 2 in All-Time Wins: ""Still Feels Unreal""",1/25/22,hollywoodreporter.com,https://www.hollywoodreporter.com/tv/tv-news/jeopardy-amy-schneider-second-wins-matt-amodio-1235080357/,85,1,1,2022,1,25,755,Amy Schneider Jeopardy!,Amy Schneider Jeopardy!,"popCulture, identity"
Jeopardy!' Champ Amy Schneider's Win Streak Ends,1/27/22,hollywoodreporter.com,https://www.hollywoodreporter.com/tv/tv-news/jeopardy-amy-schneider-win-streak-over-1235081634/,85,1,1,2022,1,27,757,Amy Schneider Jeopardy!,Amy Schneider Jeopardy!,"popCulture, identity"
Jeopardy!' Crowns Amy Schneider as Female Contestant With Most Consecutive Wins,12/31/21,thewrap.com,https://www.thewrap.com/jeopardy-crowns-amy-schneider-as-female-contestant-with-most-consecutive-wins/,85,2,2,2021,12,31,730,Amy Schneider Jeopardy!,Amy Schneider Jeopardy!,"popCulture, identity"
Jeopardy!' champ Amy Schneider finally loses after 40-game streak,1/27/22,usatoday.com,https://www.usatoday.com/story/entertainment/tv/2022/01/27/jeopardy-winner-amy-schneider-loses-rhone-talsma/9227733002/,85,1,1,2022,1,27,757,Amy Schneider Jeopardy!,Amy Schneider Jeopardy!,"popCulture, identity"
Jeopardy!' champ Amy Schneider opens a new chapter for show,1/27/22,abcnews.go.com,https://abcnews.go.com/Entertainment/wireStory/jeopardy-champ-amy-schneider-opens-chapter-show-82497401,85,1,1,2022,1,27,757,Amy Schneider Jeopardy!,Amy Schneider Jeopardy!,"popCulture, identity"
"Jeopardy!' champion Amy Schneider makes history, talks representation",12/1/21,usatoday.com,https://www.usatoday.com/story/entertainment/tv/2021/12/01/jeopardy-champion-amy-schneider-makes-history-talks-representation/8819509002/,85,2,2,2021,12,1,700,Amy Schneider Jeopardy!,Amy Schneider Jeopardy!,"popCulture, identity"
Jeopardy!' champion Amy Schneider on what her winning streak means,1/10/22,npr.org,https://www.npr.org/2022/01/10/1071897007/jeopardy-champion-amy-schneider-on-what-her-winning-streak-means,85,1,1,2022,1,10,740,Amy Schneider Jeopardy!,Amy Schneider Jeopardy!,"popCulture, identity"
Jeopardy!' champion Amy Schneider's history-making run ends,1/27/22,pbs.org,https://www.pbs.org/newshour/arts/jeopardy-champion-amy-schneiders-history-making-run-ends,85,1,1,2022,1,27,757,Amy Schneider Jeopardy!,Amy Schneider Jeopardy!,"popCulture, identity"
Jeopardy!' contestant Amy Schneider ties third-place record for consecutive wins,1/13/22,upi.com,https://www.upi.com/Entertainment_News/2022/01/13/Jeopardy-contestant-Amy-Schneider-ties-third-place-record-consecutive-wins/7671642123941/,85,1,1,2022,1,13,743,Amy Schneider Jeopardy!,Amy Schneider Jeopardy!,"popCulture, identity"
Jeopardy!' millionaire Amy Schneider quit her job—here's what she's up to next,2/9/22,cnbc.com,https://www.cnbc.com/2022/02/09/jeopardy-champ-amy-schneider-quit-her-jobwhat-shes-up-to-next.html,85,2,2,2022,2,9,770,Amy Schneider Jeopardy!,Amy Schneider Jeopardy!,"popCulture, identity"
Jeopardy!': Amy Schneider Reaches $1 Million With 28th Consecutive Victory,1/7/22,variety.com,https://variety.com/2022/tv/news/jeopardy-amy-schneider-1-million-1235149395/,85,1,1,2022,1,7,737,Amy Schneider Jeopardy!,Amy Schneider Jeopardy!,"popCulture, identity"
"Jeopardy!': Amy Schneider continues streak, wins $1M in prize money",1/5/22,freep.com,http://rssfeeds.freep.com/~/677104952/0/freep/home~Jeopardy-champ-Amy-Schneider-has-won-over-M-in-prize-money-It-feels-amazing/,85,1,1,2022,1,5,735,Amy Schneider Jeopardy!,Amy Schneider Jeopardy!,"popCulture, identity"
Jeopardy!': Trans contestant Amy Schneider is five-time champion,11/21/21,usatoday.com,https://www.usatoday.com/story/entertainment/tv/2021/11/21/jeopardy-contestant-amy-schneider-trans-awareness-week-win/8710599002/,85,2,2,2021,11,21,690,Amy Schneider Jeopardy!,Amy Schneider Jeopardy!,"popCulture, identity"
Jeopardy' Champion Amy Schneider Beats Matt Amodio's Streak for Second-Most Consecutive Wins,1/24/22,variety.com,https://variety.com/2022/tv/news/jeopardy-champion-amy-schneider-second-most-consecutive-wins-1235161830/,85,1,1,2022,1,24,754,Amy Schneider Jeopardy!,Amy Schneider Jeopardy!,"popCulture, identity"
Jeopardy' Champion Amy Schneider's Streak Ends After 40 Games,1/26/22,variety.com,https://variety.com/2022/tv/news/amy-schneider-loses-jeopardy-1235164150/,85,1,1,2022,1,26,756,Amy Schneider Jeopardy!,Amy Schneider Jeopardy!,"popCulture, identity"
Jeopardy' champ Amy Schneider beats Matt Amodio's streak for second-most consecutive wins,1/25/22,nbcnews.com,https://www.nbcnews.com/nbc-out/out-news/jeopardy-champ-amy-schneider-beats-matt-amodio-s-streak-second-n1287968,85,1,1,2022,1,25,755,Amy Schneider Jeopardy!,Amy Schneider Jeopardy!,"popCulture, identity"
Jeopardy' champion Amy Schneider is the fourth highest-earning contestant in history,12/23/21,foxnews.com,https://www.foxnews.com/entertainment/jeopardy-amy-schneider-fourth-highest-earning,85,1,1,2021,12,23,722,Amy Schneider Jeopardy!,Amy Schneider Jeopardy!,"popCulture, identity"
Juno' Star Elliot Page Comes Out As Transgender,12/1/20,ibtimes.com,https://www.ibtimes.com/juno-star-elliot-page-comes-out-transgender-3092320?utm_source=Public&utm_medium=Feed&utm_campaign=Distribution,84,2,2,2020,12,1,335,Elliot Page Comes Out,Elliot Page Comes Out,"popCulture, identity"
